step,temperature,accept
1,0.5,True
2,0.4995095095095095,True
3,0.499019019019019,True
4,0.4985285285285285,True
5,0.49803803803803803,True
6,0.49754754754754754,True
7,0.49705705705705705,True
8,0.49656656656656656,True
9,0.49607607607607607,True
10,0.4955855855855856,False
11,0.4950950950950951,True
12,0.4946046046046046,True
13,0.4941141141141141,True
14,0.4936236236236236,True
15,0.4931331331331331,True
16,0.4926426426426426,False
17,0.49215215215215213,True
18,0.49166166166166164,True
19,0.49117117117117115,True
20,0.49068068068068066,True
21,0.49019019019019017,True
22,0.4896996996996997,True
23,0.4892092092092092,True
24,0.48871871871871875,True
25,0.4882282282282282,True
26,0.48773773773773776,True
27,0.4872472472472473,True
28,0.4867567567567568,True
29,0.4862662662662663,True
30,0.4857757757757758,True
31,0.4852852852852853,False
32,0.4847947947947948,True
33,0.4843043043043043,True
34,0.48381381381381383,True
35,0.48332332332332334,True
36,0.48283283283283285,True
37,0.48234234234234236,True
38,0.48185185185185186,False
39,0.4813613613613614,False
40,0.4808708708708709,True
41,0.4803803803803804,True
42,0.4798898898898899,True
43,0.4793993993993994,True
44,0.4789089089089089,True
45,0.4784184184184184,True
46,0.47792792792792793,True
47,0.47743743743743744,True
48,0.47694694694694695,True
49,0.47645645645645646,True
50,0.47596596596596596,True
51,0.4754754754754755,True
52,0.474984984984985,True
53,0.4744944944944945,True
54,0.474004004004004,True
55,0.4735135135135135,True
56,0.473023023023023,True
57,0.4725325325325325,True
58,0.47204204204204203,True
59,0.47155155155155154,True
60,0.47106106106106105,True
61,0.47057057057057056,True
62,0.47008008008008006,False
63,0.4695895895895896,True
64,0.4690990990990991,True
65,0.4686086086086086,True
66,0.4681181181181181,True
67,0.4676276276276276,True
68,0.4671371371371371,True
69,0.4666466466466467,True
70,0.46615615615615613,True
71,0.4656656656656657,True
72,0.46517517517517515,True
73,0.4646846846846847,True
74,0.4641941941941942,True
75,0.46370370370370373,True
76,0.46321321321321324,True
77,0.46272272272272275,True
78,0.46223223223223225,True
79,0.46174174174174176,True
80,0.46125125125125127,False
81,0.4607607607607608,True
82,0.4602702702702703,True
83,0.4597797797797798,True
84,0.4592892892892893,True
85,0.4587987987987988,True
86,0.4583083083083083,True
87,0.45781781781781783,True
88,0.45732732732732734,True
89,0.45683683683683685,False
90,0.45634634634634635,True
91,0.45585585585585586,True
92,0.45536536536536537,True
93,0.4548748748748749,True
94,0.4543843843843844,False
95,0.4538938938938939,True
96,0.4534034034034034,True
97,0.4529129129129129,False
98,0.4524224224224224,True
99,0.45193193193193193,True
100,0.45144144144144144,True
101,0.45095095095095095,True
102,0.45046046046046045,True
103,0.44996996996996996,True
104,0.44947947947947947,True
105,0.448988988988989,True
