step,design:pTM,design:global_pLDDT,design:hydrophobic,design:state_energy,system_energy
0,-0.19685674,-0.49392977,0.3442211055276382,1.0303191,1.0303191
1,-0.19685674,-0.49392977,0.3442211055276382,1.0303191,1.0303191
2,-0.19685674,-0.49392977,0.3442211055276382,1.0303191,1.0303191
3,-0.19685674,-0.49392977,0.3442211055276382,1.0303191,1.0303191
4,-0.19685674,-0.49392977,0.3442211055276382,1.0303191,1.0303191
5,-0.10362014,-0.47916153,0.32061068702290074,1.0202718,1.0202718
6,-0.104053125,-0.4843223,0.3197969543147208,1.0106093,1.0106093
7,-0.10469474,-0.4541277,0.30434782608695654,0.9629167,0.9629167
8,-0.10497676,-0.444082,0.2828282828282828,0.8650827,0.8650827
9,-0.10497676,-0.444082,0.2828282828282828,0.8650827,0.8650827
10,-0.10497676,-0.444082,0.2828282828282828,0.8650827,0.8650827
11,-0.10657575,-0.4437656,0.2619647355163728,0.75948226,0.75948226
12,-0.10657575,-0.4437656,0.2619647355163728,0.75948226,0.75948226
13,-0.10657575,-0.4437656,0.2619647355163728,0.75948226,0.75948226
14,-0.10657575,-0.4437656,0.2619647355163728,0.75948226,0.75948226
15,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
16,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
17,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
18,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
19,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
20,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
21,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
22,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
23,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
24,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
25,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
26,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
27,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
28,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
29,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
30,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
31,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
32,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
33,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
34,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
35,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
36,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
37,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
38,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
39,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
40,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
41,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
42,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
43,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
44,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
45,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
46,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
47,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
48,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
49,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
50,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
51,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
52,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
53,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
